song_name,song_lyric
Hey! Unfair Baby,さぁ　この場面の運　信じてうまくいくなら今しかない普段運が無いなら尚BecauseSo 弱音吐くな　諦めるな不吉ばかり発言すな悪い結果呼び込むぜかった！すればよかった　しなきゃよかったはじめて事は　ストレスばっか不幸一人で背負ってる感じだわ　人生脱却！脱却！　「変わらなきゃ！」笑顔ん勝る敵は無い無欲ん勝る媚薬も無し楽して儲かりゃしない苦労するだけが美学じゃないAre you OK？夢見るだけなんてまったくまったくまったくそんなのナンセンスそうじゃないぜ結果出そうよ未来にゃ無限の可能性What do you wanna do？さぁ　この場面の運　信じてうまくいくなら今しかない普段運が無いなら尚BecauseSo 見比べるな　陰口すな他人は他人な　妬むんじゃない自分だけが特別で良いWhat's up？大丈夫かな　これで良いかなあっちにすりゃ　よかったかな過去なんて簡単に書き換えれるに後悔　ばっか…「変わらなきゃ！」病は気からと言うけど元気も気からって知ってるかい？損してもすべき事と大金でもすべきじゃ無い事判断　むっずい結果にとやかく言うのは言うのは言うのはアンフェアBABY任せたと言ったならケツ拭くもあんただろDo you know？さぁ　この場面の運　信じてうまくいくなら今しかない普段運が無いなら尚BecauseSo 弱音吐くな　諦めるな不吉ばかり発言すな悪い結果呼び込むぜ
このまま！,笑ってってって　YEAH YEAH YEAH夢ってってって　YEAH YEAH YEAHAH　君が君が君が居れば　居れば居れば居れば何も　何も何も何も要らない　要らない私SO時間よ！このまま　止まれ欲など何もないこのまま永遠となれ(YEAH)わかるかい？この純粋恋とか愛とかまして大恋愛とか　当然私にゃ無縁なことと(HEY！)スルーしてた理由なんて　ないさ　YEAH怖いモノなどもっと　まったくなくなった笑ってってって　YEAH YEAH YEAH叫んでってって　YEAH YEAH YEAHAH　君は君は君はいつも　いつもいつもいつも強い　強い強い強い味方　味方だからSO時間よ！このまま　止まれ邪魔など許さないほんとの愛となれ(YEAH)信じたい！この運命あいつもあの子もみんな大人になるだろ　当然私もそうだよ　それが(HEY！)三次元さ絶対なんて　なくて　BUTでもね　信じて進むしかないだろ笑ってってって　YEAH YEAH YEAH夢ってってって　YEAH YEAH YEAHAH　君が君が君が居れば　居れば居れば居れば何も　何も何も何も要らない　要らない私SO時間よ！このまま　止まれ欲など何もないこのまま永遠となれ(YEAH)わかるかい？この純粋笑ってってって　YEAH YEAH YEAH叫んでってって　YEAH YEAH YEAHAH　君は君は君はいつも　いつもいつもいつも強い　強い強い強い味方　味方だからSO時間よ！このまま　止まれ邪魔など許さないほんとの愛となれ(YEAH)信じたい！この運命
二人はアベコベ,二人はアベコベ好みが違うし時間感覚もねそれでも好きなぜだか好き気になってしょうがないあれは8月雨の夜ああ　急に会いたくて電話したの君はすぐ来てくれた真っ赤な顔して　参上「僕も会いたかったんだ」と照れくさそうな顔　愛しいねダーリン二人の馴れ初め強引な程の友達の紹介絶対無理タイプじゃないしそれでもくっ付いちゃった思い返せば君の事ああ　理解出来なくて恋になった愛と言うにゃ未熟かな喧嘩は絶えないけれど会話には尽きぬ二人アベコベの議論　エンドレスダーリン愛と言うにゃ未熟かな喧嘩は絶えないけれど会話には尽きぬ二人アベコベの議論　エンドレスダーリン
泣き虫My Dream,夢が一つ　夢が二つ音も立てず消えてくねえ　君は怖くないの？なんでいつも堂々出来るの？ひとりの日　あいつの事何してるか気になるねえ　今は幸せなの？やりたい事　見つけられたの？Ah　寂しい寂しいけれどMm　辛いわけじゃないよ私の話を少しだけ　聞いてほしい今があり　過去があり　明日に続くストーリー思い出　美化したわけじゃない　宝物にしたの私はね　少々泣き虫だけれど　Believe meYes　くじけない！　叶えたい My DreamBelieve my dream！My DreamBelieve my dream！思い出に　浸ってるのこれくらいにしなきゃねもう　私　昨日までとはおんなじ子じゃないつもりなのAh　悔しいなんて言葉そう　ただのつまり「いいわけ」泣いた後の方が強いな　昔っから恋の人　信じてる人も繋がるストーリー人生って　綺麗事じゃない　驚きもあるから強くなる　素直な泣き虫でいいの　Believe meYes　輝け！　手に入れろ My DreamBelieve my dream！My DreamBelieve my dream！恋の人　信じてる人も繋がるストーリー人生って　綺麗事じゃない　驚きもあるから強くなる　素直な泣き虫でいいの　Believe meYes　輝け！　手に入れろ My DreamBelieve my dream！My Dream Wow wo ohBelieve my dream！
TIME IS MONEY!,正直なら許される！？限らないね　なんやかんや悔しいまま飲み込むもストレスだし　てんやわんやAHDon't stop Don't stop見られてるとDon't stop Don't stopうざいのにAHDon't stop Don't stopスルーされるとDon't stop Don't stopムカっとくる負けなら認めるさBecause I love you crazy babyハナから出直すさBecause I love you crazy baby時間との戦いギリ間に合うか時間との戦い今しかない時間との戦い手を差し伸べろ時間との戦い守りなよ「わかっている」と「知ってる」は違うんだよ！？　なんだかんだ聞かないのは一生の恥だったのに　すったもんだAHDon't stop Don't stop引きこもるとDon't stop Don't stop楽だけどAHDon't stop Don't stop出たら出たでDon't stop Don't stopスカッっとする「勝ち」なら忘れるよBecause I love you crazy babyプライドはしまうよBecause I love you crazy baby自分との戦いほら　しがみつけ自分との戦い辛いけど自分との戦いその未来には自分との戦いうちが居る言いたい事だらけBecause I love you crazy baby言ったら火の車Because I love you crazy baby時間との戦いギリ間に合うか時間との戦い今しかない時間との戦い手を差し伸べろ時間との戦い守りなよ
信じるしか！,信じるしかないやりきるしかない誰の為じゃない自分の為だろ？！楽じゃ儲かんないタダ飯は高い見返りのない親切はあるだろうか一番の強敵だ君も知ってる最強の敵そいつは私自身甘い言葉でわたくしをそそのかすまだやれるまだ間に合うべつ道もある現実にはヒントが隠れてる世界にゃ100億の人生が想像を超えた人生が出会いは偶然じゃない偶然じゃないって感覚はわかるでしょ！？ああすればよかったやめときゃよかった買っとけばよかった後悔はするけどその先行くにゃどうすべきだろうか切り替えてくか原因を突き止めるか昨晩の強敵は今日の友だと言い切りたいけど手強い私自身わかってるけど　わかっちゃいるんだけどけどだけど…でもだって…そうじゃなくて…つい口からいいわけ出ちゃってる長くて100年の人生を楽しむきゃない人生をなぜに争うんだろう奪うんだろう歴史が語る　人の性抱きしめて　抱きしめて今夜くらい甘えさせてね抱きしめて　ぎゅっと強くわがままを許して世界にゃ100億の人生が想像を超えた人生が出会いは偶然じゃない偶然じゃないって感覚はわかるでしょ！？長くて100年の人生を楽しむきゃない人生をなぜに争うんだろう奪うんだろう歴史が語る　人の性一番の強敵だ皆が知ってる最強のカワイイ私
桜をごらん,一人きりで夢を見てた誰に話す事も出来ず寂しい気持ちには気づかないふりで部屋にこもってた明日(あす)になればやるわ明日(あした)こそきっと立ち上がるそうじゃない　今すぐ始めるから桜をごらん　美しいのは一年準備してたからさあ　ごらん　私も負けないわ夢が　花開く未来へと羽ばたく二人きりで恋のような…心　全てあいつだった信じすぎて何も見えなくなってた思い出たちタイミングが違うわ学校のせいかもしれないそうじゃない　決めたの私だから桜をごらん　眩しいのは自信がみなぎっているからさあ　ごらん　私も輝くわ明日(あした)が　待ちきれぬ未来へと羽ばたく涙溢れてくる胸が熱いよ　WOWWOW何度でも　スタート桜をごらん　美しいのは一年準備してたからさあ　ごらん　私も負けないわ夢が　花開く未来へと羽ばたく未来へと羽ばたけ
一番星の歌～未来のレジェンド伝説～,振り返ればほら流れ星 I Want You wo全部全部見られてたんだね I Need You woSo　出会い別れ全て今日へと続く道やめたきゃやめろ泣きたきゃ泣け僕は進むあそこで一番光ってる眩しいあいつになりたくて愛と(Hey！)努力(Hey！) 夢と(Hey！)運命(さだめ)(Yeah！)信じたからこそ　今日があるそして始まる　アイチュウ喧嘩もしたし　まじむかついた　あの日も朝まで夢　語り明かした日も　全てがSo　僕も君もあいつもここまでこれた道時に孤独で時に悔しいでも負けたくないやっぱり一番光ってるこの胸の奥に宿ってる歌と(Hey！)未来(Hey！) 永遠(とわ)の(Hey！)平和(Yeah！)信じた分だけ　輝くだから終わらぬ　アイチュウあそこで一番光ってる眩しいあいつになりたくて愛と(Hey！)努力(Hey！) 夢と(Hey！)運命(さだめ)(Yeah！)信じたからこそ　今日があるそして始まる　アイチュウ
My Hero～奇跡の唄～,感謝が湧き出てくる君を見てると笑顔が溢れてくる君に触れると困らせていいよ怒っていいよ休んでいいよ続けていいよ出会えたことが　奇跡の奇跡一度きりの人生だし楽しまなくちゃ　欲張らなくちゃそれでこそMy Hero My HeroSee you tomorrow勇気が湧き出てくる君の匂いは未来が溢れている君の涙は愛されていいよ愛してもいいよ嫌ってもいいよ本音がいいよ出会えたことが　最高の最高初めての人生だしやってみなきゃ　わからぬものさ自由でいいMy Hero My HeroSee you tomorrowNANANA…NANANA…NANANA…NANANA…ありがとうMy Hero My HeroSee you tomorrow
イジワルしないで 抱きしめてよ,乾いた風が少し切ない早く会いたいわ冷えた心　すぐに温めて愛のため息ねねぇねぇ　私のどこが好きよねぇねぇ　触ってみてねぇねぇ　言葉で言うんじゃなくてもうちょっと近づいてお願いイジワルしないで　抱きしめてよ情熱の女神愛に包まれて　愛を届けて無償の愛なの　抱きしめるわ私はローズクォーツ新しい夜を楽しんでTonightシャボンをまといたっぷりバスタイム乙女を高める愛の数だけ　星があるんだとか数えてみますかねぇねぇ　あなたの匂い好きよねぇねぇ　気づいてるかなねぇねぇ　今夜はさっぱりスイーツもう一個いいでしょう！？お願いイジワルしないで　抱きしめてよ情熱の女神愛に包まれて　愛を届けて無償の愛なの　抱きしめるわ私はローズクォーツ新しい夜を楽しんでTonightI Love you　愛　I Love you全ての始まりね愛してる　愛　愛してるこれは夢じゃないのI Love you　愛　I Love youいつまでも輝け　Ahイジワルしないで　抱きしめてよ愛と美の時間心の底から　こっち向いてよ無償の愛なの　抱きしめるわ私はローズクォーツ全てを許してあげるTonightイジワルしないで　抱きしめてよ情熱の女神愛に包まれて　愛を届けて無償の愛なの　抱きしめるわ私はローズクォーツ新しい夜を楽しんでTonight
